"BeneficialUse","R3172ParameterName","CriterionLabel","IR_MLID","R317Descrp","IR_Lat","IR_Long","ASSESS_ID","AU_NAME","BEN_CLASS","AsmntAggFun","SSC_StartMon","SSC_EndMon","SSC_MLID","SampleCount","ExcCount","IR_Cat"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4995780","Spanish Fork River and tributaries, from diversion at Moark Junction to headwaters","40.16107186","-111.2507314","UT16020202-009_00","Sixth Water Creek","2B,3A,4","NA","NA","NA","NA",3,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4995835","Spanish Fork River and tributaries, from diversion at Moark Junction to headwaters","39.91912","-111.54801","UT16020202-022_00","Thistle Creek-1","2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4995915","Spanish Fork River and tributaries, from diversion at Moark Junction to headwaters","39.97098","-111.33343","UT16020202-012_00","Soldier Creek-1","2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996778","Provo River and tributaries, from Utah Lake to Murdock diversion","40.324843127","-111.644618431","UT16020203-001_00","Provo River-1","2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996780","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.32634338","-111.642149","UT16020203-002_00","Provo River-2","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996810","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.34772865","-111.5902004","UT16020203-002_00","Provo River-2","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996850","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.36439878","-111.5568613","UT16020203-003_00","Provo River-3","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996870","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.40328919","-111.5304658","UT16020203-013_00","Provo Deer Creek","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996900","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.389682355","-111.431576122","UT16020203-009_00","Main Creek-1","1C,2B,3A,4","NA","NA","NA","NA",5,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996905","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.386111599","-111.434816862","UT16020203-009_00","Main Creek-1","1C,2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996910","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.375509627","-111.424629807","UT16020203-010_00","Main Creek-2","1C,2B,3A,4","NA","NA","NA","NA",9,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4996920","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.379404771","-111.421296808","UT16020203-010_00","Main Creek-2","1C,2B,3A,4","NA","NA","NA","NA",4,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4997250","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.50023865","-111.4442507","UT16020203-027_00","Spring Creek-Heber","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4997300","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.55412408","-111.431579","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4997330","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.59495075","-111.4271377","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-4997675","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.61708488","-111.4321258","UT16020203-016_00","McHenry Creek","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5910160","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.482097","-111.470603","UT16020203-014_00","Snake Creek-1","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5910250","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.50717276","-111.4496313","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5911120","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.48579242","-111.4615709","UT16020203-026_00","Heber Valley","1C,2B,3A,4","NA","NA","NA","NA",3,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5911680","Lake Mary","40.588006171","-111.590475943","UT-L-16020204-024_00","Lake Mary","1C,2B,3A","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5912820","Tibble Fork Resevoir","40.481339419","-111.646313595","UT-L-16020201-005_00","Tibble Fork Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5912880","Silver Flat Lake Reservoir","40.501338583","-111.656029533","UT-L-16020201-006_00","Silver Lake Flat Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5913210","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.40440364","-111.5290839","UT16020203-003_00","Provo River-3","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5913220","Deer Creek Reservoir","40.4091227","-111.5235227","UT-L-16020203-001_00","Deer Creek Reservoir","1C,2A,3A,4","NA","NA","NA","NA",4,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5913230","Deer Creek Reservoir","40.42523752","-111.5037958","UT-L-16020203-001_00","Deer Creek Reservoir","1C,2A,3A,4","NA","NA","NA","NA",4,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5913240","Deer Creek Reservoir","40.46328944","-111.4832379","UT-L-16020203-001_00","Deer Creek Reservoir","1C,2A,3A,4","NA","NA","NA","NA",4,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5913460","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.409660066","-111.47851692","UT16020203-009_00","Main Creek-1","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5913630","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.48412029","-111.4651817","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",11,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5914010","Jordanelle Reservoir","40.600785","-111.4157456","UT-L-16020203-003_00","Jordanelle Reservoir","1C,2A,3A,4","NA","NA","NA","NA",3,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5914030","Jordanelle Reservoir","40.61967636","-111.4107435","UT-L-16020203-003_00","Jordanelle Reservoir","1C,2A,3A,4","NA","NA","NA","NA",3,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5914040","Jordanelle Reservoir","40.60300804","-111.3851818","UT-L-16020203-003_00","Jordanelle Reservoir","1C,2A,3A,4","NA","NA","NA","NA",2,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5914550","Mill Hollow Reservoir","40.489673735","-111.106835823","UT-L-16020203-004_00","Mill Hollow Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5916260","Washington Reservoir","40.675500504","-110.969614015","UT-L-16020203-005_00","Washington Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5916460","Trial Lake","40.681054622","-110.956286938","UT-L-16020203-002_00","Trial Lake","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5916570","Wall Lake Reservoir","40.696893746","-110.961283355","UT-L-16020203-006_00","Wall Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5917610","Salem Pond","40.051619952","-111.676868549","UT-L-16020202-001_00","Salem Lake","2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5917620","Salem Pond","40.048569645","-111.67464612","UT-L-16020202-001_00","Salem Lake","2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5917910","Big East Lake","39.935516058","-111.639639945","UT-L-16020202-002_00","Big East Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5923310","Rockport Reservoir","40.78634027","-111.4046454","UT-L-16020101-002_00","Rockport Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5932050","Cleveland Reservoir","39.578298794","-111.236835183","UT-L-14060009-024_00","Cleveland Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5932430","Brough Reservoir","40.254140561","-109.697985985","UT-L-14060010-002_00","Brough Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5932620","Paradise Park Reservoir","40.667733697","-109.916262331","UT-L-14060003-297_00","Paradise Park Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5933520","Big Sandwash Reservoir","40.294678706","-110.229881053","UT-L-14060003-230_00","Big Sand Wash Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5935870","Pyramid Lake","40.653137628","-110.900166646","UT-L-14060003-003_00","Pyramid Lake","2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5935920","Marshall Lake","40.675778453","-110.874337826","UT-L-14060003-011_00","Marshall Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5935950","Hoover Lake","40.679386661","-110.87044975","UT-L-14060003-012_00","Hoover Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5936050","Mirror Lake","40.704386957","-110.8887852","UT-L-14060003-006_00","Mirror Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5936070","Scout Lake","40.721887021","-110.884895991","UT-L-14060003-002_00","Scout Lake","2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5936110","Butterfly Lake","40.722164725","-110.866696197","UT-L-14060003-293_00","Butterfly Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5936210","Red Creek Reservoir (Duchesne County)","40.305506856","-110.851267543","UT-L-14060004-003_00","Red Creek Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5936450","Currant Creek Reservoir","40.333419972","-111.053188555","UT-L-14060004-007_00","Currant Creek Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937650","Red Fleet Reservoir","40.57524053","-109.4226399","UT-L-14060010-008_00","Red Fleet Reservoir","1C,2A,3A,4","NA","NA","NA","NA",3,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937700","Oaks Park Reservoir","40.7455115","-109.620699479","UT-L-14060010-005_00","Oaks Park Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937750","East Park Reservoir","40.779399687","-109.546525982","UT-L-14060010-007_00","East Park Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937780","Crouse Reservoir","40.720514149","-109.180679824","UT-L-14040106-026_00","Crouse Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937800","Calder Reservoir","40.731714104","-109.206189422","UT-L-14040106-034_00","Calder Reservoir","2B,3A,4","NA","NA","NA","NA",2,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937850","Matt Warner Reservoir","40.765235189","-109.297912882","UT-L-14040106-033_00","Matt Warner Reservoir","2B,3A,4","NA","NA","NA","NA",2,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937880","Pot Creek and tributaries, from Crouse Reservoir to headwaters","40.768844789","-109.319858633","UT14040106-021_00","Pot Creek","2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5937920","Browne Reservoir","40.863570975","-109.811541976","UT-L-14040106-019_00","Browne Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5938060","Sheep Creek Reservoir","40.888848306","-109.843483302","UT-L-14040106-016_00","Sheep Creek Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5938100","Long Park Reservoir","40.910042649","-109.870566543","UT-L-14040106-032_00","Long Park Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5938250","Spirit Lake","40.84162215","-109.997925977","UT-L-14040106-002_00","Spirit Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5938330","Beaver Meadow Reservoir","40.90411372","-110.059043157","UT-L-14040106-031_00","Beaver Meadow Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5938370","Hoop Lake","40.923007867","-110.122373147","UT-L-14040106-001_00","Hoop Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5939330","All Tributaries of Flaming Gorge Reservoir from Utah-Wyoming state line to headwaters","40.994109447","-110.38376574","UT14040107-005_00","East Fork Smiths Fork","2B,3A,4","NA","NA","NA","NA",4,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5939340","Stateline Reservoir","40.978278338","-110.391544166","UT-L-14040107-007_00","Stateline Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5939370","Bridger Lake","40.963278759","-110.386274867","UT-L-14040107-004_00","Bridger Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5939400","Marsh Lake","40.957725499","-110.395713643","UT-L-14040107-003_00","Marsh Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5939450","China Lake","40.94216546","-110.405573265","UT-L-14040107-006_00","China Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5939860","Lyman Lake","40.937971004","-110.614031377","UT-L-14040107-005_00","Lyman Lake","2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5941450","Puffer Lake","38.315254162","-112.364655289","UT-L-16030007-028_00","Puffer Lake","2B,3A","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5941490","Beaver River and tributaries from Minersville City to headwaters","38.317724838","-112.355985359","UT16030007-003_00","Beaver River-3","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5941800","Red Creek Reservoir (Iron County)","37.866088456","-112.681607517","UT-L-16030006-019_00","Red Creek Reservoir (Iron County)","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5945770","Koosharem Reservoir","38.591919233","-111.846859409","UT-L-16030002-011_00","Koosharem Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5952090","Blanding Reservoir #4","37.664273316","-109.498457827","UT-L-14080201-002_00","Blanding City Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5953860","Wide Hollow Reservoir","37.785265475","-111.634900464","UT-L-14070005-011_00","Wide Hollow Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5954520","Lower Bowns Reservoir","38.108591708","-111.269893901","UT-L-14070003-044_00","Lower Bowns Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5960200","Settlement Canyon Reservoir","40.510497177","-112.294672856","UT-L-16020304-004_00","Settlement Canyon Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5960870","Grantsville Reservoir","40.54410968","-112.504950484","UT-L-16020304-005_00","Grantsville Reservoir","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5994660","Sevier River and tributaries, from Annabella diversion to headwaters","37.861087322","-112.48881689","UT16030001-014_00","Threemile Creek","2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5994680","Sevier River and tributaries, from Annabella diversion to headwaters","37.963036034","-112.429096442","UT16030001-004_00","Bear Creek","2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"3A","Arsenic","Acute","UTAHDWQ_WQX-5994740","Johnson Wash and tributaries, from confluence with Skutumpah Canyon to headwaters","37.308034989","-112.329368969","UT15010003-005_00","Johnson Wash-2","2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Chronic","USGS-403258112123201","Middle Canyon Creek and tributaries, Tooele County","40.5493896","-112.209666","UT16020304-007_00","Middle Canyon","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4905440","Blacksmith Fork and tributaries, from confluence with Logan River to headwaters","41.62659947","-111.800776991","UT16010203-020_00","Blacksmiths Fork-1","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4908740","Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)","40.901926792","-110.830040779","UT16010101-021_00","Bear River-6","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4908747","Bear River and tributaries in Rich County","41.896542586","-111.132052841","UT16010101-001_00","Bear River West","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4909850","Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)","40.912727219","-110.829621258","UT16010101-021_00","Bear River-6","2B,3A,4","NA","NA","NA","NA",8,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4923810","Pineview Reservoir","41.25522309","-111.8399354","UT-L-16020102-014_00","Pineview Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4924650","All tributaries to Pineview Reservoir","41.3135","-111.84093","UT16020102-006_00","North Fork Ogden River","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4924660","All tributaries to Pineview Reservoir","41.287722337","-111.777165318","UT16020102-009_00","Middle Fork Ogden River","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4924670","All tributaries to Pineview Reservoir","41.247163497","-111.763269633","UT16020102-010_00","South Fork Ogden River-1","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4924680","All tributaries to Pineview Reservoir","41.249104182","-111.7599384","UT16020102-010_00","South Fork Ogden River-1","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4925910","Lost Creek Reservoir","41.185777451","-111.398533184","UT-L-16020101-003_00","Lost Creek Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4926130","Echo Reservoir","40.964115836","-111.428534561","UT-L-16020101-001_00","Echo Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4926400","Weber River and tributaries, from Stoddard diversion to headwaters","40.911894081","-111.406312408","UT16020101-017_00","Weber River-8","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4927250","Weber River and tributaries, from Stoddard diversion to headwaters","40.752894672","-111.374329516","UT16020101-021_00","Weber Upper Tributaries-4","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4930524","Huntington Creek and tributaries, from Highway U-10 crossing to headwaters","39.338859731","-110.961892477","UT14060009-004_00","Huntington Creek-2","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4931040","Joe's Valley Reservoir","39.289133679","-111.271561491","UT-L-14060009-017_00","Joes Valley Reservoir","2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4931190","Electric Lake","39.600933755","-111.213174466","UT-L-14060009-025_00","Electric Lake","2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4933115","Range Creek and tributaries, from confluence with Green River to Range Creek Ranch","39.314495972","-110.120729111","UT14060005-006_00","Range Creek Lower","2B,3A,4","NA","NA","NA","NA",2,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4933500","Willow Creek and tributaries (Uintah County), from confluence with Green River to headwaters","40.027190094","-109.732922331","UT14060006-001_00","Willow Creek Lower","2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4933524","Willow Creek and tributaries (Uintah County), from confluence with Green River to headwaters","39.884297522","-109.651248696","UT14060006-001_00","Willow Creek Lower","2B,3A,4","NA","NA","NA","NA",13,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4933532","Willow Creek and tributaries (Uintah County), from confluence with Green River to headwaters","39.661825462","-109.550658158","UT14060006-001_00","Willow Creek Lower","2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4933771","Bitter Creek and Tributaries from White River to Headwaters","39.753382008","-109.355316519","UT14050007-002_00","Bitter Creek Lower","2B,3A,4","NA","NA","NA","NA",11,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4933810","Bitter Creek and Tributaries from White River to Headwaters","39.693299035","-109.280811187","UT14050007-005_00","Bitter Creek Upper","2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4934500","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.16356901","-110.392373643","UT14060003-017_00","Duchesne River-4","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4935500","Upper Stillwater Reservoir","40.561444222","-110.701050927","UT-L-14060003-296_00","Upper Stillwater Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4935530","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.58375","-110.70368","UT14060003-020_00","Rock Creek Upper","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4935740","Lake Fork River and tributaries, from confluence with Duchesne River to headwaters","40.208845976","-110.117375913","UT14060003-008_00","Lake Fork-1","1C,2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4935920","Moon Lake","40.563303441","-110.488768046","UT-L-14060003-112_00","Moon Lake","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4935970","Lake Fork River and tributaries, from confluence with Duchesne River to headwaters","40.60327521","-110.520164148","UT14060003-021_00","Moon Lake Tributaries","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936050","Starvation Reservoir","40.19217671","-110.4430696","UT-L-14060004-006_00","Starvation Reservoir","1C,2A,3A,4","NA","NA","NA","NA",15,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936120","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.240509257","-110.411542856","UT14060003-017_00","Duchesne River-4","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936250","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.18707","-110.770101","UT14060004-007_00","Red Creek Middle","1C,2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936300","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.133591058","-111.025401111","UT14060004-010_00","Strawberry River-3","1C,2B,3A,4","NA","NA","NA","NA",8,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936510","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.229676574","-111.115724096","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",5,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936530","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.239123129","-111.182115875","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",11,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936610","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.116070733","-111.176553385","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"3A","Arsenic","Chronic","UTAHDWQ_WQX-4936620","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.233293","-111.188232","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",10,0,"FS"
